DeltaT_C,RH,surface,theta_deg,tau_min,t_s,tau,C,A
5,0.80,Superhydrophobic,150,0.28,200,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,205,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,210,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,215,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,220,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,225,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,230,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,235,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,240,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,245,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,250,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,255,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,260,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,265,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,270,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,275,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,280,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,285,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,290,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,295,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,300,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,305,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,310,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,315,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,320,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,325,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,330,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,335,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,340,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,345,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,350,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,355,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,360,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,365,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,370,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,375,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,380,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,385,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,390,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,395,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,400,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,405,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,410,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,415,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,420,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,425,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,430,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,435,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,440,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,445,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,450,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,455,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,460,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,465,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,470,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,475,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,480,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,485,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,490,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,495,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,500,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,505,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,510,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,515,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,520,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,525,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,530,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,535,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,540,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,545,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,550,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,555,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,560,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,565,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,570,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,575,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,580,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,585,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,590,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,595,1.000000,0.000000,1
5,0.80,Superhydrophobic,150,0.28,600,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,0,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,5,0.504813,0.059201,0
5,0.90,Untreated glass,20,0.09,10,0.514756,0.077233,0
5,0.90,Untreated glass,20,0.09,15,0.500083,0.098358,0
5,0.90,Untreated glass,20,0.09,20,0.469599,0.121862,0
5,0.90,Untreated glass,20,0.09,25,0.426023,0.146555,0
5,0.90,Untreated glass,20,0.09,30,0.385465,0.170987,0
5,0.90,Untreated glass,20,0.09,35,0.374275,0.193763,0
5,0.90,Untreated glass,20,0.09,40,0.353034,0.213848,0
5,0.90,Untreated glass,20,0.09,45,0.334203,0.230712,0
5,0.90,Untreated glass,20,0.09,50,0.336436,0.244295,0
5,0.90,Untreated glass,20,0.09,55,0.324171,0.254877,0
5,0.90,Untreated glass,20,0.09,60,0.329491,0.262906,0
5,0.90,Untreated glass,20,0.09,65,0.331875,0.268879,0
5,0.90,Untreated glass,20,0.09,70,0.327748,0.273257,0
5,0.90,Untreated glass,20,0.09,75,0.345142,0.276430,0
5,0.90,Untreated glass,20,0.09,80,0.338650,0.278712,0
5,0.90,Untreated glass,20,0.09,85,0.346789,0.280344,0
5,0.90,Untreated glass,20,0.09,90,0.360827,0.281507,0
5,0.90,Untreated glass,20,0.09,95,0.355539,0.282332,0
5,0.90,Untreated glass,20,0.09,100,0.362971,0.282917,0
5,0.90,Untreated glass,20,0.09,105,0.377758,0.283331,0
5,0.90,Untreated glass,20,0.09,110,0.375822,0.283623,0
5,0.90,Untreated glass,20,0.09,115,0.376326,0.283830,0
5,0.90,Untreated glass,20,0.09,120,0.390291,0.283976,0
5,0.90,Untreated glass,20,0.09,125,0.397145,0.284079,0
5,0.90,Untreated glass,20,0.09,130,0.393261,0.284152,0
5,0.90,Untreated glass,20,0.09,135,0.397232,0.284203,0
5,0.90,Untreated glass,20,0.09,140,0.409847,0.284239,0
5,0.90,Untreated glass,20,0.09,145,0.415104,0.284264,0
5,0.90,Untreated glass,20,0.09,150,0.411750,0.284282,0
5,0.90,Untreated glass,20,0.09,155,0.413628,0.284295,0
5,0.90,Untreated glass,20,0.09,160,0.424029,0.284304,0
5,0.90,Untreated glass,20,0.09,165,0.431846,0.284310,0
5,0.90,Untreated glass,20,0.09,170,0.430790,0.284315,0
5,0.90,Untreated glass,20,0.09,175,0.428693,0.284318,0
5,0.90,Untreated glass,20,0.09,180,0.433913,0.284320,0
5,0.90,Untreated glass,20,0.09,185,0.512035,0.234078,0
5,0.90,Untreated glass,20,0.09,190,0.580771,0.192715,1
5,0.90,Untreated glass,20,0.09,195,0.637963,0.158660,1
5,0.90,Untreated glass,20,0.09,200,0.689521,0.130624,1
5,0.90,Untreated glass,20,0.09,205,0.739020,0.107541,1
5,0.90,Untreated glass,20,0.09,210,0.784069,0.088538,1
5,0.90,Untreated glass,20,0.09,215,0.821109,0.072893,1
5,0.90,Untreated glass,20,0.09,220,0.850146,0.060012,1
5,0.90,Untreated glass,20,0.09,225,0.874112,0.049407,1
5,0.90,Untreated glass,20,0.09,230,0.895454,0.040677,1
5,0.90,Untreated glass,20,0.09,235,0.914491,0.033489,1
5,0.90,Untreated glass,20,0.09,240,0.930411,0.027571,1
5,0.90,Untreated glass,20,0.09,245,0.942892,0.022699,1
5,0.90,Untreated glass,20,0.09,250,0.952606,0.018688,1
5,0.90,Untreated glass,20,0.09,255,0.960604,0.015386,1
5,0.90,Untreated glass,20,0.09,260,0.967562,0.012667,1
5,0.90,Untreated glass,20,0.09,265,0.973605,0.010428,1
5,0.90,Untreated glass,20,0.09,270,0.978607,0.008586,1
5,0.90,Untreated glass,20,0.09,275,0.982543,0.007068,1
5,0.90,Untreated glass,20,0.09,280,0.985601,0.005819,1
5,0.90,Untreated glass,20,0.09,285,0.988065,0.004791,1
5,0.90,Untreated glass,20,0.09,290,0.990154,0.003944,1
5,0.90,Untreated glass,20,0.09,295,0.991956,0.003247,1
5,0.90,Untreated glass,20,0.09,300,0.993476,0.002674,1
5,0.90,Untreated glass,20,0.09,305,0.994705,0.002201,1
5,0.90,Untreated glass,20,0.09,310,0.995668,0.001812,1
5,0.90,Untreated glass,20,0.09,315,0.996425,0.001492,1
5,0.90,Untreated glass,20,0.09,320,0.997041,0.001228,1
5,0.90,Untreated glass,20,0.09,325,0.997562,0.001011,1
5,0.90,Untreated glass,20,0.09,330,0.998008,0.000833,1
5,0.90,Untreated glass,20,0.09,335,0.998382,0.000685,1
5,0.90,Untreated glass,20,0.09,340,0.998686,0.000564,1
5,0.90,Untreated glass,20,0.09,345,0.998927,0.000465,1
5,0.90,Untreated glass,20,0.09,350,0.999117,0.000382,1
5,0.90,Untreated glass,20,0.09,355,0.999270,0.000315,1
5,0.90,Untreated glass,20,0.09,360,0.999397,0.000259,1
5,0.90,Untreated glass,20,0.09,365,0.999505,0.000213,1
5,0.90,Untreated glass,20,0.09,370,0.999596,0.000176,1
5,0.90,Untreated glass,20,0.09,375,0.999672,0.000145,1
5,0.90,Untreated glass,20,0.09,380,0.999733,0.000119,1
5,0.90,Untreated glass,20,0.09,385,0.999781,0.000098,1
5,0.90,Untreated glass,20,0.09,390,0.999820,0.000081,1
5,0.90,Untreated glass,20,0.09,395,0.999851,0.000066,1
5,0.90,Untreated glass,20,0.09,400,0.999877,0.000055,1
5,0.90,Untreated glass,20,0.09,405,0.999899,0.000045,1
5,0.90,Untreated glass,20,0.09,410,0.999918,0.000037,1
5,0.90,Untreated glass,20,0.09,415,0.999933,0.000031,1
5,0.90,Untreated glass,20,0.09,420,0.999945,0.000025,1
5,0.90,Untreated glass,20,0.09,425,0.999955,0.000021,1
5,0.90,Untreated glass,20,0.09,430,0.999963,0.000017,1
5,0.90,Untreated glass,20,0.09,435,0.999970,0.000014,1
5,0.90,Untreated glass,20,0.09,440,0.999975,0.000012,1
5,0.90,Untreated glass,20,0.09,445,0.999979,0.000010,1
5,0.90,Untreated glass,20,0.09,450,0.999983,0.000008,1
5,0.90,Untreated glass,20,0.09,455,0.999986,0.000006,1
5,0.90,Untreated glass,20,0.09,460,0.999989,0.000005,1
5,0.90,Untreated glass,20,0.09,465,0.999991,0.000004,1
5,0.90,Untreated glass,20,0.09,470,0.999992,0.000004,1
5,0.90,Untreated glass,20,0.09,475,0.999994,0.000003,1
5,0.90,Untreated glass,20,0.09,480,0.999995,0.000002,1
5,0.90,Untreated glass,20,0.09,485,0.999996,0.000002,1
5,0.90,Untreated glass,20,0.09,490,0.999997,0.000002,1
5,0.90,Untreated glass,20,0.09,495,0.999997,0.000001,1
5,0.90,Untreated glass,20,0.09,500,0.999998,0.000001,1
5,0.90,Untreated glass,20,0.09,505,0.999998,0.000001,1
5,0.90,Untreated glass,20,0.09,510,0.999998,0.000001,1
5,0.90,Untreated glass,20,0.09,515,0.999999,0.000001,1
5,0.90,Untreated glass,20,0.09,520,0.999999,0.000001,1
5,0.90,Untreated glass,20,0.09,525,0.999999,0.000000,1
5,0.90,Untreated glass,20,0.09,530,0.999999,0.000000,1
5,0.90,Untreated glass,20,0.09,535,0.999999,0.000000,1
5,0.90,Untreated glass,20,0.09,540,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,545,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,550,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,555,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,560,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,565,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,570,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,575,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,580,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,585,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,590,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,595,1.000000,0.000000,1
5,0.90,Untreated glass,20,0.09,600,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,0,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,5,0.742472,0.067728,1
5,0.90,Hydrophilic coat,10,0.35,10,0.751348,0.087350,1
5,0.90,Hydrophilic coat,10,0.35,15,0.720235,0.109776,1
5,0.90,Hydrophilic coat,10,0.35,20,0.696624,0.134041,1
5,0.90,Hydrophilic coat,10,0.35,25,0.680084,0.158790,1
5,0.90,Hydrophilic coat,10,0.35,30,0.657574,0.182559,1
5,0.90,Hydrophilic coat,10,0.35,35,0.629516,0.204100,1
5,0.90,Hydrophilic coat,10,0.35,40,0.630861,0.222623,1
5,0.90,Hydrophilic coat,10,0.35,45,0.610895,0.237843,1
5,0.90,Hydrophilic coat,10,0.35,50,0.617738,0.249890,1
5,0.90,Hydrophilic coat,10,0.35,55,0.604857,0.259145,1
5,0.90,Hydrophilic coat,10,0.35,60,0.617951,0.266094,1
5,0.90,Hydrophilic coat,10,0.35,65,0.608838,0.271222,1
5,0.90,Hydrophilic coat,10,0.35,70,0.619141,0.274959,1
5,0.90,Hydrophilic coat,10,0.35,75,0.623777,0.277656,1
5,0.90,Hydrophilic coat,10,0.35,80,0.620085,0.279590,1
5,0.90,Hydrophilic coat,10,0.35,85,0.633863,0.280970,1
5,0.90,Hydrophilic coat,10,0.35,90,0.635923,0.281951,1
5,0.90,Hydrophilic coat,10,0.35,95,0.633944,0.282647,1
5,0.90,Hydrophilic coat,10,0.35,100,0.645824,0.283140,1
5,0.90,Hydrophilic coat,10,0.35,105,0.651009,0.283489,1
5,0.90,Hydrophilic coat,10,0.35,110,0.647640,0.283735,1
5,0.90,Hydrophilic coat,10,0.35,115,0.654111,0.283909,1
5,0.90,Hydrophilic coat,10,0.35,120,0.663944,0.284031,1
5,0.90,Hydrophilic coat,10,0.35,125,0.663706,0.284118,1
5,0.90,Hydrophilic coat,10,0.35,130,0.662295,0.284179,1
5,0.90,Hydrophilic coat,10,0.35,135,0.669600,0.284222,1
5,0.90,Hydrophilic coat,10,0.35,140,0.677363,0.284253,1
5,0.90,Hydrophilic coat,10,0.35,145,0.677098,0.284274,1
5,0.90,Hydrophilic coat,10,0.35,150,0.675411,0.284289,1
5,0.90,Hydrophilic coat,10,0.35,155,0.680388,0.284300,1
5,0.90,Hydrophilic coat,10,0.35,160,0.688039,0.284307,1
5,0.90,Hydrophilic coat,10,0.35,165,0.690309,0.284313,1
5,0.90,Hydrophilic coat,10,0.35,170,0.688166,0.284317,1
5,0.90,Hydrophilic coat,10,0.35,175,0.688954,0.284319,1
5,0.90,Hydrophilic coat,10,0.35,180,0.694886,0.284321,1
5,0.90,Hydrophilic coat,10,0.35,185,0.746115,0.234079,1
5,0.90,Hydrophilic coat,10,0.35,190,0.786421,0.192715,1
5,0.90,Hydrophilic coat,10,0.35,195,0.819291,0.158661,1
5,0.90,Hydrophilic coat,10,0.35,200,0.849046,0.130624,1
5,0.90,Hydrophilic coat,10,0.35,205,0.876238,0.107542,1
5,0.90,Hydrophilic coat,10,0.35,210,0.899053,0.088538,1
5,0.90,Hydrophilic coat,10,0.35,215,0.916732,0.072893,1
5,0.90,Hydrophilic coat,10,0.35,220,0.930546,0.060012,1
5,0.90,Hydrophilic coat,10,0.35,225,0.942273,0.049407,1
5,0.90,Hydrophilic coat,10,0.35,230,0.952713,0.040677,1
5,0.90,Hydrophilic coat,10,0.35,235,0.961677,0.033489,1
5,0.90,Hydrophilic coat,10,0.35,240,0.968841,0.027571,1
5,0.90,Hydrophilic coat,10,0.35,245,0.974348,0.022699,1
5,0.90,Hydrophilic coat,10,0.35,250,0.978710,0.018688,1
5,0.90,Hydrophilic coat,10,0.35,255,0.982403,0.015386,1
5,0.90,Hydrophilic coat,10,0.35,260,0.985627,0.012667,1
5,0.90,Hydrophilic coat,10,0.35,265,0.988360,0.010428,1
5,0.90,Hydrophilic coat,10,0.35,270,0.990556,0.008586,1
5,0.90,Hydrophilic coat,10,0.35,275,0.992258,0.007069,1
5,0.90,Hydrophilic coat,10,0.35,280,0.993596,0.005819,1
5,0.90,Hydrophilic coat,10,0.35,285,0.994701,0.004791,1
5,0.90,Hydrophilic coat,10,0.35,290,0.995651,0.003944,1
5,0.90,Hydrophilic coat,10,0.35,295,0.996465,0.003247,1
5,0.90,Hydrophilic coat,10,0.35,300,0.997136,0.002674,1
5,0.90,Hydrophilic coat,10,0.35,305,0.997668,0.002201,1
5,0.90,Hydrophilic coat,10,0.35,310,0.998084,0.001812,1
5,0.90,Hydrophilic coat,10,0.35,315,0.998415,0.001492,1
5,0.90,Hydrophilic coat,10,0.35,320,0.998690,0.001228,1
5,0.90,Hydrophilic coat,10,0.35,325,0.998925,0.001011,1
5,0.90,Hydrophilic coat,10,0.35,330,0.999125,0.000833,1
5,0.90,Hydrophilic coat,10,0.35,335,0.999290,0.000685,1
5,0.90,Hydrophilic coat,10,0.35,340,0.999422,0.000564,1
5,0.90,Hydrophilic coat,10,0.35,345,0.999526,0.000465,1
5,0.90,Hydrophilic coat,10,0.35,350,0.999609,0.000383,1
5,0.90,Hydrophilic coat,10,0.35,355,0.999677,0.000315,1
5,0.90,Hydrophilic coat,10,0.35,360,0.999734,0.000259,1
5,0.90,Hydrophilic coat,10,0.35,365,0.999782,0.000213,1
5,0.90,Hydrophilic coat,10,0.35,370,0.999823,0.000176,1
5,0.90,Hydrophilic coat,10,0.35,375,0.999856,0.000145,1
5,0.90,Hydrophilic coat,10,0.35,380,0.999882,0.000119,1
5,0.90,Hydrophilic coat,10,0.35,385,0.999903,0.000098,1
5,0.90,Hydrophilic coat,10,0.35,390,0.999920,0.000081,1
5,0.90,Hydrophilic coat,10,0.35,395,0.999934,0.000066,1
5,0.90,Hydrophilic coat,10,0.35,400,0.999946,0.000055,1
5,0.90,Hydrophilic coat,10,0.35,405,0.999956,0.000045,1
5,0.90,Hydrophilic coat,10,0.35,410,0.999964,0.000037,1
5,0.90,Hydrophilic coat,10,0.35,415,0.999971,0.000031,1
5,0.90,Hydrophilic coat,10,0.35,420,0.999976,0.000025,1
5,0.90,Hydrophilic coat,10,0.35,425,0.999980,0.000021,1
5,0.90,Hydrophilic coat,10,0.35,430,0.999984,0.000017,1
5,0.90,Hydrophilic coat,10,0.35,435,0.999987,0.000014,1
5,0.90,Hydrophilic coat,10,0.35,440,0.999989,0.000012,1
5,0.90,Hydrophilic coat,10,0.35,445,0.999991,0.000010,1
5,0.90,Hydrophilic coat,10,0.35,450,0.999993,0.000008,1
5,0.90,Hydrophilic coat,10,0.35,455,0.999994,0.000006,1
5,0.90,Hydrophilic coat,10,0.35,460,0.999995,0.000005,1
5,0.90,Hydrophilic coat,10,0.35,465,0.999996,0.000004,1
5,0.90,Hydrophilic coat,10,0.35,470,0.999997,0.000004,1
5,0.90,Hydrophilic coat,10,0.35,475,0.999997,0.000003,1
5,0.90,Hydrophilic coat,10,0.35,480,0.999998,0.000002,1
5,0.90,Hydrophilic coat,10,0.35,485,0.999998,0.000002,1
5,0.90,Hydrophilic coat,10,0.35,490,0.999998,0.000002,1
5,0.90,Hydrophilic coat,10,0.35,495,0.999999,0.000001,1
5,0.90,Hydrophilic coat,10,0.35,500,0.999999,0.000001,1
5,0.90,Hydrophilic coat,10,0.35,505,0.999999,0.000001,1
5,0.90,Hydrophilic coat,10,0.35,510,0.999999,0.000001,1
5,0.90,Hydrophilic coat,10,0.35,515,0.999999,0.000001,1
5,0.90,Hydrophilic coat,10,0.35,520,1.000000,0.000001,1
5,0.90,Hydrophilic coat,10,0.35,525,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,530,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,535,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,540,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,545,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,550,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,555,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,560,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,565,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,570,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,575,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,580,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,585,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,590,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,595,1.000000,0.000000,1
5,0.90,Hydrophilic coat,10,0.35,600,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,0,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,5,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,10,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,15,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,20,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,25,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,30,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,35,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,40,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,45,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,50,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,55,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,60,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,65,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,70,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,75,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,80,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,85,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,90,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,95,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,100,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,105,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,110,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,115,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,120,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,125,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,130,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,135,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,140,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,145,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,150,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,155,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,160,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,165,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,170,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,175,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,180,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,185,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,190,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,195,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,200,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,205,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,210,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,215,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,220,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,225,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,230,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,235,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,240,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,245,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,250,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,255,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,260,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,265,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,270,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,275,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,280,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,285,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,290,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,295,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,300,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,305,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,310,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,315,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,320,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,325,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,330,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,335,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,340,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,345,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,350,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,355,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,360,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,365,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,370,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,375,1.000000,0.000000,1
5,0.90,Hydrophobic coat,100,0.14,380,1.000000,0.000000,1
