DeltaT_C,RH,surface,theta_deg,tau_min,t_s,tau,C,A
5,0.60,Untreated glass,20,0.09,415,0.999959,0.000019,1
5,0.60,Untreated glass,20,0.09,420,0.999966,0.000015,1
5,0.60,Untreated glass,20,0.09,425,0.999973,0.000013,1
5,0.60,Untreated glass,20,0.09,430,0.999977,0.000010,1
5,0.60,Untreated glass,20,0.09,435,0.999981,0.000009,1
5,0.60,Untreated glass,20,0.09,440,0.999985,0.000007,1
5,0.60,Untreated glass,20,0.09,445,0.999987,0.000006,1
5,0.60,Untreated glass,20,0.09,450,0.999990,0.000005,1
5,0.60,Untreated glass,20,0.09,455,0.999992,0.000004,1
5,0.60,Untreated glass,20,0.09,460,0.999993,0.000003,1
5,0.60,Untreated glass,20,0.09,465,0.999994,0.000003,1
5,0.60,Untreated glass,20,0.09,470,0.999995,0.000002,1
5,0.60,Untreated glass,20,0.09,475,0.999996,0.000002,1
5,0.60,Untreated glass,20,0.09,480,0.999997,0.000001,1
5,0.60,Untreated glass,20,0.09,485,0.999997,0.000001,1
5,0.60,Untreated glass,20,0.09,490,0.999998,0.000001,1
5,0.60,Untreated glass,20,0.09,495,0.999998,0.000001,1
5,0.60,Untreated glass,20,0.09,500,0.999999,0.000001,1
5,0.60,Untreated glass,20,0.09,505,0.999999,0.000001,1
5,0.60,Untreated glass,20,0.09,510,0.999999,0.000000,1
5,0.60,Untreated glass,20,0.09,515,0.999999,0.000000,1
5,0.60,Untreated glass,20,0.09,520,0.999999,0.000000,1
5,0.60,Untreated glass,20,0.09,525,0.999999,0.000000,1
5,0.60,Untreated glass,20,0.09,530,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,535,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,540,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,545,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,550,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,555,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,560,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,565,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,570,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,575,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,580,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,585,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,590,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,595,1.000000,0.000000,1
5,0.60,Untreated glass,20,0.09,600,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,0,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,5,0.832726,0.041635,1
5,0.60,Hydrophilic coat,10,0.35,10,0.838832,0.053697,1
5,0.60,Hydrophilic coat,10,0.35,15,0.817305,0.067483,1
5,0.60,Hydrophilic coat,10,0.35,20,0.800728,0.082400,1
5,0.60,Hydrophilic coat,10,0.35,25,0.788987,0.097615,1
5,0.60,Hydrophilic coat,10,0.35,30,0.772829,0.112226,1
5,0.60,Hydrophilic coat,10,0.35,35,0.752388,0.125468,1
5,0.60,Hydrophilic coat,10,0.35,40,0.753376,0.136855,1
5,0.60,Hydrophilic coat,10,0.35,45,0.738628,0.146211,1
5,0.60,Hydrophilic coat,10,0.35,50,0.743703,0.153617,1
5,0.60,Hydrophilic coat,10,0.35,55,0.734131,0.159306,1
5,0.60,Hydrophilic coat,10,0.35,60,0.743860,0.163578,1
5,0.60,Hydrophilic coat,10,0.35,65,0.737097,0.166731,1
5,0.60,Hydrophilic coat,10,0.35,70,0.744741,0.169028,1
5,0.60,Hydrophilic coat,10,0.35,75,0.748164,0.170686,1
5,0.60,Hydrophilic coat,10,0.35,80,0.745438,0.171875,1
5,0.60,Hydrophilic coat,10,0.35,85,0.755577,0.172723,1
5,0.60,Hydrophilic coat,10,0.35,90,0.757086,0.173326,1
5,0.60,Hydrophilic coat,10,0.35,95,0.755636,0.173754,1
5,0.60,Hydrophilic coat,10,0.35,100,0.764310,0.174057,1
5,0.60,Hydrophilic coat,10,0.35,105,0.768077,0.174271,1
5,0.60,Hydrophilic coat,10,0.35,110,0.765631,0.174423,1
5,0.60,Hydrophilic coat,10,0.35,115,0.770325,0.174530,1
5,0.60,Hydrophilic coat,10,0.35,120,0.777423,0.174605,1
5,0.60,Hydrophilic coat,10,0.35,125,0.777252,0.174658,1
5,0.60,Hydrophilic coat,10,0.35,130,0.776235,0.174696,1
5,0.60,Hydrophilic coat,10,0.35,135,0.781487,0.174722,1
5,0.60,Hydrophilic coat,10,0.35,140,0.787045,0.174741,1
5,0.60,Hydrophilic coat,10,0.35,145,0.786856,0.174754,1
5,0.60,Hydrophilic coat,10,0.35,150,0.785650,0.174764,1
5,0.60,Hydrophilic coat,10,0.35,155,0.789203,0.174770,1
5,0.60,Hydrophilic coat,10,0.35,160,0.794648,0.174775,1
5,0.60,Hydrophilic coat,10,0.35,165,0.796258,0.174778,1
5,0.60,Hydrophilic coat,10,0.35,170,0.794738,0.174780,1
5,0.60,Hydrophilic coat,10,0.35,175,0.795297,0.174782,1
5,0.60,Hydrophilic coat,10,0.35,180,0.799499,0.174783,1
5,0.60,Hydrophilic coat,10,0.35,185,0.835235,0.143897,1
5,0.60,Hydrophilic coat,10,0.35,190,0.862691,0.118470,1
5,0.60,Hydrophilic coat,10,0.35,195,0.884682,0.097535,1
5,0.60,Hydrophilic coat,10,0.35,200,0.904297,0.080300,1
5,0.60,Hydrophilic coat,10,0.35,205,0.921993,0.066110,1
5,0.60,Hydrophilic coat,10,0.35,210,0.936677,0.054428,1
5,0.60,Hydrophilic coat,10,0.35,215,0.947958,0.044810,1
5,0.60,Hydrophilic coat,10,0.35,220,0.956714,0.036892,1
5,0.60,Hydrophilic coat,10,0.35,225,0.964108,0.030373,1
5,0.60,Hydrophilic coat,10,0.35,230,0.970660,0.025005,1
5,0.60,Hydrophilic coat,10,0.35,235,0.976264,0.020587,1
5,0.60,Hydrophilic coat,10,0.35,240,0.980729,0.016949,1
5,0.60,Hydrophilic coat,10,0.35,245,0.984152,0.013954,1
5,0.60,Hydrophilic coat,10,0.35,250,0.986858,0.011488,1
5,0.60,Hydrophilic coat,10,0.35,255,0.989145,0.009458,1
5,0.60,Hydrophilic coat,10,0.35,260,0.991140,0.007787,1
5,0.60,Hydrophilic coat,10,0.35,265,0.992829,0.006411,1
5,0.60,Hydrophilic coat,10,0.35,270,0.994184,0.005278,1
5,0.60,Hydrophilic coat,10,0.35,275,0.995234,0.004345,1
5,0.60,Hydrophilic coat,10,0.35,280,0.996058,0.003577,1
5,0.60,Hydrophilic coat,10,0.35,285,0.996739,0.002945,1
5,0.60,Hydrophilic coat,10,0.35,290,0.997324,0.002425,1
5,0.60,Hydrophilic coat,10,0.35,295,0.997825,0.001996,1
5,0.60,Hydrophilic coat,10,0.35,300,0.998238,0.001644,1
5,0.60,Hydrophilic coat,10,0.35,305,0.998566,0.001353,1
5,0.60,Hydrophilic coat,10,0.35,310,0.998821,0.001114,1
5,0.60,Hydrophilic coat,10,0.35,315,0.999025,0.000917,1
5,0.60,Hydrophilic coat,10,0.35,320,0.999195,0.000755,1
5,0.60,Hydrophilic coat,10,0.35,325,0.999339,0.000622,1
5,0.60,Hydrophilic coat,10,0.35,330,0.999462,0.000512,1
5,0.60,Hydrophilic coat,10,0.35,335,0.999564,0.000421,1
5,0.60,Hydrophilic coat,10,0.35,340,0.999645,0.000347,1
5,0.60,Hydrophilic coat,10,0.35,345,0.999709,0.000286,1
5,0.60,Hydrophilic coat,10,0.35,350,0.999760,0.000235,1
5,0.60,Hydrophilic coat,10,0.35,355,0.999801,0.000194,1
5,0.60,Hydrophilic coat,10,0.35,360,0.999836,0.000159,1
5,0.60,Hydrophilic coat,10,0.35,365,0.999866,0.000131,1
5,0.60,Hydrophilic coat,10,0.35,370,0.999891,0.000108,1
5,0.60,Hydrophilic coat,10,0.35,375,0.999911,0.000089,1
5,0.60,Hydrophilic coat,10,0.35,380,0.999928,0.000073,1
5,0.60,Hydrophilic coat,10,0.35,385,0.999941,0.000060,1
5,0.60,Hydrophilic coat,10,0.35,390,0.999951,0.000050,1
5,0.60,Hydrophilic coat,10,0.35,395,0.999960,0.000041,1
5,0.60,Hydrophilic coat,10,0.35,400,0.999967,0.000034,1
5,0.60,Hydrophilic coat,10,0.35,405,0.999973,0.000028,1
5,0.60,Hydrophilic coat,10,0.35,410,0.999978,0.000023,1
5,0.60,Hydrophilic coat,10,0.35,415,0.999982,0.000019,1
5,0.60,Hydrophilic coat,10,0.35,420,0.999985,0.000015,1
5,0.60,Hydrophilic coat,10,0.35,425,0.999988,0.000013,1
5,0.60,Hydrophilic coat,10,0.35,430,0.999990,0.000010,1
5,0.60,Hydrophilic coat,10,0.35,435,0.999992,0.000009,1
5,0.60,Hydrophilic coat,10,0.35,440,0.999993,0.000007,1
5,0.60,Hydrophilic coat,10,0.35,445,0.999994,0.000006,1
5,0.60,Hydrophilic coat,10,0.35,450,0.999995,0.000005,1
5,0.60,Hydrophilic coat,10,0.35,455,0.999996,0.000004,1
5,0.60,Hydrophilic coat,10,0.35,460,0.999997,0.000003,1
5,0.60,Hydrophilic coat,10,0.35,465,0.999998,0.000003,1
5,0.60,Hydrophilic coat,10,0.35,470,0.999998,0.000002,1
5,0.60,Hydrophilic coat,10,0.35,475,0.999998,0.000002,1
5,0.60,Hydrophilic coat,10,0.35,480,0.999999,0.000001,1
5,0.60,Hydrophilic coat,10,0.35,485,0.999999,0.000001,1
5,0.60,Hydrophilic coat,10,0.35,490,0.999999,0.000001,1
5,0.60,Hydrophilic coat,10,0.35,495,0.999999,0.000001,1
5,0.60,Hydrophilic coat,10,0.35,500,0.999999,0.000001,1
5,0.60,Hydrophilic coat,10,0.35,505,0.999999,0.000001,1
5,0.60,Hydrophilic coat,10,0.35,510,1.000000,0.000000,1
5,0.60,Hydrophilic coat,10,0.35,515,1.000000,0.000000,1
